NeSa,S_d,b,model,number,pa,product
7.39367,-50.50222,0.92347,Exp.Nes10_dDFE.Exponential,914,0.00374,0.0276523258
4.37305,-48.71835,1.0072,Exp.Nes10_dDFE.Exponential,134,0.00739,0.0323168395
2.98108,-45.24107,1.0071,Exp.Nes10_dDFE.Exponential,154,0.00957,0.0285289356
9.40411,-44.27671,1.01443,Exp.Nes10_dDFE.Exponential,726,0.00334,0.0314097274
7.65657,-43.87996,1.04486,Exp.Nes10_dDFE.Exponential,953,0.00458,0.0350670906
2.97993,-48.09428,1.02654,Exp.Nes10_dDFE.Exponential,864,0.01085,0.0323322405
3.08249,-43.72962,1.16013,Exp.Nes10_dDFE.Exponential,828,0.01243,0.0383153507
13.57495,-44.75526,1.00268,Exp.Nes10_dDFE.Exponential,356,0.00261,0.0354306195
3.19914,-45.41849,1.06213,Exp.Nes10_dDFE.Exponential,672,0.0107,0.034230798
7.17449,-41.86455,1.06931,Exp.Nes10_dDFE.Exponential,74,0.00459,0.0329309091
16.00313,-48.23775,0.94758,Exp.Nes10_dDFE.Exponential,613,0.00199,0.0318462287
9.11802,-48.8652,0.92588,Exp.Nes10_dDFE.Exponential,313,0.00309,0.0281746818
7.01811,-45.2925,1.01191,Exp.Nes10_dDFE.Exponential,76,0.00457,0.0320727627
4.78401,-46.97833,1.00029,Exp.Nes10_dDFE.Exponential,293,0.00682,0.0326269482
12.41669,-49.3576,0.94695,Exp.Nes10_dDFE.Exponential,425,0.00259,0.0321592271
23.83321,-51.44841,0.88923,Exp.Nes10_dDFE.Exponential,616,0.00094,0.0224032174
8.20096,-48.22455,0.97437,Exp.Nes10_dDFE.Exponential,756,0.00385,0.031573696
12.89604,-47.90835,0.94985,Exp.Nes10_dDFE.Exponential,137,0.00232,0.0299188128
4.06608,-44.49213,1.0588,Exp.Nes10_dDFE.Exponential,717,0.00837,0.0340330896
3.45535,-43.35895,1.09525,Exp.Nes10_dDFE.Exponential,305,0.00992,0.034277072
17.46073,-48.19271,0.91087,Exp.Nes10_dDFE.Exponential,538,0.00146,0.0254926658
7.21971,-43.65058,1.01084,Exp.Nes10_dDFE.Exponential,172,0.00463,0.0334272573
6.40047,-48.66704,0.95677,Exp.Nes10_dDFE.Exponential,276,0.00465,0.0297621855
4.88152,-47.08383,0.9842,Exp.Nes10_dDFE.Exponential,39,0.00604,0.0294843808
