NeSa,S_d,b,model,number,pa,product
15.45153,-49.51275,0.94412,Exp.Nes10_dDFE.Exponential_div10/,116,0.00057,0.0088073721
6.89916,-46.74167,1.00899,Exp.Nes10_dDFE.Exponential_div10/,603,0.00182,0.0125564712
3.12242,-44.20482,1.00879,Exp.Nes10_dDFE.Exponential_div10/,528,0.00294,0.0091799148
6.38905,-45.98388,0.97745,Exp.Nes10_dDFE.Exponential_div10/,678,0.0013,0.008305765
0.15031,-46.28776,0.99995,Exp.Nes10_dDFE.Exponential_div10/,536,0.00872,0.0013107032
0.77136,-44.62163,1.07055,Exp.Nes10_dDFE.Exponential_div10/,825,0.0097,0.007482192
5.21122,-45.35935,1.01087,Exp.Nes10_dDFE.Exponential_div10/,638,0.00236,0.0122984792
6.40048,-43.75761,1.0219,Exp.Nes10_dDFE.Exponential_div10/,458,0.00177,0.0113288496
5.06246,-44.33861,1.0046,Exp.Nes10_dDFE.Exponential_div10/,20,0.00202,0.0102261692
0.04417,-43.93359,1.08012,Exp.Nes10_dDFE.Exponential_div10/,881,0.01356,0.0005989452
10.54922,-43.14607,1.01133,Exp.Nes10_dDFE.Exponential_div10/,496,0.00106,0.0111821732
1.71437,-42.99454,1.0987,Exp.Nes10_dDFE.Exponential_div10/,997,0.00702,0.0120348774
0.21868,-48.3331,0.95589,Exp.Nes10_dDFE.Exponential_div10/,182,0.00617,0.0013492556
0.05038,-48.75243,0.95491,Exp.Nes10_dDFE.Exponential_div10/,836,0.00789,0.0003974982
7.7447,-46.52031,0.95483,Exp.Nes10_dDFE.Exponential_div10/,152,0.00084,0.006505548
6.88409,-45.84511,0.95477,Exp.Nes10_dDFE.Exponential_div10/,374,0.0008,0.005507272
0.62523,-45.51713,1.00337,Exp.Nes10_dDFE.Exponential_div10/,311,0.00711,0.0044453853
17.47566,-43.89256,0.98963,Exp.Nes10_dDFE.Exponential_div10/,924,0.00051,0.0089125866
0.0168,-42.94209,1.19662,Exp.Nes10_dDFE.Exponential_div10/,78,0.02195,0.00036876
0.03782,-41.90583,1.19522,Exp.Nes10_dDFE.Exponential_div10/,457,0.01887,0.0007136634
2.24701,-45.18772,1.01027,Exp.Nes10_dDFE.Exponential_div10/,801,0.00379,0.0085161679
3.64314,-46.49388,0.99495,Exp.Nes10_dDFE.Exponential_div10/,383,0.00256,0.0093264384
6.93435,-45.70858,0.98741,Exp.Nes10_dDFE.Exponential_div10/,186,0.00112,0.007766472
0.73144,-41.31966,1.17553,Exp.Nes10_dDFE.Exponential_div10/,404,0.01364,0.0099768416
37.92906,-45.33187,0.98737,Exp.Nes10_dDFE.Exponential_div10/,209,0.00031,0.0117580086
49.08615,-46.72476,0.95166,Exp.Nes10_dDFE.Exponential_div10/,79,0.00016,0.007853784
16.53029,-44.90917,0.98593,Exp.Nes10_dDFE.Exponential_div10/,462,0.00064,0.0105793856
1.24899,-45.41,1.01036,Exp.Nes10_dDFE.Exponential_div10/,197,0.00559,0.0069818541
0.32256,-43.44111,1.09815,Exp.Nes10_dDFE.Exponential_div10/,822,0.01539,0.0049641984
0.14788,-46.9268,0.93494,Exp.Nes10_dDFE.Exponential_div10/,659,0.00202,0.0002987176
2.31625,-43.90636,1.03244,Exp.Nes10_dDFE.Exponential_div10/,97,0.00377,0.0087322625
0.34551,-46.18816,1.01092,Exp.Nes10_dDFE.Exponential_div10/,816,0.00789,0.0027260739
48.67119,-45.58667,0.96624,Exp.Nes10_dDFE.Exponential_div10/,898,0.00015,0.0073006785
0.10829,-46.354,1.00086,Exp.Nes10_dDFE.Exponential_div10/,687,0.01025,0.0011099725
3.94881,-44.83931,1.01298,Exp.Nes10_dDFE.Exponential_div10/,995,0.00295,0.0116489895
0.04891,-44.32431,1.07266,Exp.Nes10_dDFE.Exponential_div10/,71,0.01359,0.0006646869
0.45544,-47.02175,1.01559,Exp.Nes10_dDFE.Exponential_div10/,707,0.01033,0.0047046952
1.20992,-46.92961,1.01136,Exp.Nes10_dDFE.Exponential_div10/,218,0.00661,0.0079975712
0.67389,-39.88589,1.26786,Exp.Nes10_dDFE.Exponential_div10/,103,0.01826,0.0123052314
1.78333,-41.19773,1.15136,Exp.Nes10_dDFE.Exponential_div10/,807,0.00822,0.0146589726
0.16475,-48.54148,0.94412,Exp.Nes10_dDFE.Exponential_div10/,653,0.00633,0.0010428675
0.14078,-40.09053,1.28922,Exp.Nes10_dDFE.Exponential_div10/,808,0.02293,0.0032280854
0.043,-40.05529,1.27771,Exp.Nes10_dDFE.Exponential_div10/,751,0.02376,0.00102168
0.14994,-43.91364,1.1148,Exp.Nes10_dDFE.Exponential_div10/,28,0.01692,0.0025369848
0.01258,-45.89423,1.0519,Exp.Nes10_dDFE.Exponential_div10/,535,0.0148,0.000186184
1.22847,-43.40581,1.11453,Exp.Nes10_dDFE.Exponential_div10/,916,0.00998,0.0122601306
2.86448,-43.47387,1.047,Exp.Nes10_dDFE.Exponential_div10/,865,0.00417,0.0119448816
0.28963,-47.41624,0.98736,Exp.Nes10_dDFE.Exponential_div10/,694,0.00907,0.0026269441
2.67893,-44.39701,1.01172,Exp.Nes10_dDFE.Exponential_div10/,741,0.00323,0.0086529439
0.20526,-43.77045,1.14245,Exp.Nes10_dDFE.Exponential_div10/,567,0.02014,0.0041339364
49.96274,-47.55027,0.94137,Exp.Nes10_dDFE.Exponential_div10/,917,0.00015,0.007494411
0.169,-48.76844,0.92253,Exp.Nes10_dDFE.Exponential_div10/,54,0.0035,0.0005915
2.62775,-42.83112,1.09578,Exp.Nes10_dDFE.Exponential_div10/,699,0.00564,0.01482051
0.2212,-44.53372,1.0985,Exp.Nes10_dDFE.Exponential_div10/,482,0.01387,0.003068044
11.1355,-42.66404,1.04157,Exp.Nes10_dDFE.Exponential_div10/,166,0.00084,0.00935382
1.00327,-46.17269,1.01029,Exp.Nes10_dDFE.Exponential_div10/,873,0.00576,0.0057788352
32.73388,-43.68951,0.99984,Exp.Nes10_dDFE.Exponential_div10/,75,0.00031,0.0101475028
14.49457,-42.23263,1.02552,Exp.Nes10_dDFE.Exponential_div10/,944,0.00077,0.0111608189
0.34494,-41.80337,1.16924,Exp.Nes10_dDFE.Exponential_div10/,184,0.01576,0.0054362544
0.34464,-47.83114,1.01182,Exp.Nes10_dDFE.Exponential_div10/,909,0.01004,0.0034601856
0.15526,-48.54801,0.9834,Exp.Nes10_dDFE.Exponential_div10/,300,0.01054,0.0016364404
0.11489,-43.85682,1.10935,Exp.Nes10_dDFE.Exponential_div10/,718,0.01732,0.0019898948
3.25067,-44.11059,1.0117,Exp.Nes10_dDFE.Exponential_div10/,128,0.00281,0.0091343827
3.46477,-44.45062,1.00018,Exp.Nes10_dDFE.Exponential_div10/,244,0.0026,0.009008402
0.11274,-48.4757,0.98745,Exp.Nes10_dDFE.Exponential_div10/,247,0.0094,0.001059756
0.62042,-46.34649,1.0118,Exp.Nes10_dDFE.Exponential_div10/,853,0.00805,0.004994381
0.13655,-46.67734,0.98063,Exp.Nes10_dDFE.Exponential_div10/,378,0.00807,0.0011019585
0.14463,-46.17637,1.01028,Exp.Nes10_dDFE.Exponential_div10/,109,0.00969,0.0014014647
16.0519,-43.79242,0.99971,Exp.Nes10_dDFE.Exponential_div10/,344,0.00059,0.009470621
4.01587,-44.96349,1.00526,Exp.Nes10_dDFE.Exponential_div10/,272,0.00246,0.0098790402
0.74924,-41.01413,1.11949,Exp.Nes10_dDFE.Exponential_div10/,987,0.01116,0.0083615184
5.11144,-43.71684,1.03419,Exp.Nes10_dDFE.Exponential_div10/,890,0.00248,0.0126763712
0.48644,-43.23968,1.17066,Exp.Nes10_dDFE.Exponential_div10/,235,0.01721,0.0083716324
47.96024,-45.94251,0.95613,Exp.Nes10_dDFE.Exponential_div10/,444,0.0002,0.009592048
0.12648,-51.96499,0.91061,Exp.Nes10_dDFE.Exponential_div10/,200,0.00513,0.0006488424
2.86263,-43.44885,1.04121,Exp.Nes10_dDFE.Exponential_div10/,921,0.00376,0.0107634888
9.01435,-43.55336,1.02586,Exp.Nes10_dDFE.Exponential_div10/,327,0.00118,0.010636933
1.02469,-45.77759,1.06449,Exp.Nes10_dDFE.Exponential_div10/,316,0.00981,0.0100522089
10.72347,-41.82055,1.06245,Exp.Nes10_dDFE.Exponential_div10/,949,0.00099,0.0106162353
0.21637,-47.7125,1.01027,Exp.Nes10_dDFE.Exponential_div10/,245,0.01168,0.0025272016
5.5127,-46.89877,0.98333,Exp.Nes10_dDFE.Exponential_div10/,254,0.0016,0.00882032
0.14586,-40.00084,1.25855,Exp.Nes10_dDFE.Exponential_div10/,709,0.02206,0.0032176716
98.02797,-47.14492,0.91139,Exp.Nes10_dDFE.Exponential_div10/,436,3e-05,0.0029408391
14.16003,-43.77403,0.97737,Exp.Nes10_dDFE.Exponential_div10/,889,0.00039,0.0055224117
2.09635,-46.90548,0.95931,Exp.Nes10_dDFE.Exponential_div10/,155,0.00272,0.005702072
9.58154,-45.05585,0.98629,Exp.Nes10_dDFE.Exponential_div10/,390,0.00088,0.0084317552
19.07208,-45.11627,1.0017,Exp.Nes10_dDFE.Exponential_div10/,932,0.00049,0.0093453192
8.42709,-51.7978,0.90332,Exp.Nes10_dDFE.Exponential_div10/,416,0.00058,0.0048877122
2.77057,-46.71104,1.01178,Exp.Nes10_dDFE.Exponential_div10/,811,0.00423,0.0117195111
0.11313,-43.38444,1.17513,Exp.Nes10_dDFE.Exponential_div10/,304,0.02144,0.0024255072
4.02705,-46.50498,0.9833,Exp.Nes10_dDFE.Exponential_div10/,105,0.00254,0.010228707
0.18185,-45.87742,1.02897,Exp.Nes10_dDFE.Exponential_div10/,63,0.01039,0.0018894215
5.48764,-42.44282,1.01163,Exp.Nes10_dDFE.Exponential_div10/,306,0.00197,0.0108106508
1.67178,-42.71924,1.07698,Exp.Nes10_dDFE.Exponential_div10/,911,0.00636,0.0106325208
1.01162,-46.78742,1.02281,Exp.Nes10_dDFE.Exponential_div10/,361,0.00839,0.0084874918
0.20604,-45.97067,0.99939,Exp.Nes10_dDFE.Exponential_div10/,584,0.00946,0.0019491384
2.76136,-44.89621,1.02293,Exp.Nes10_dDFE.Exponential_div10/,230,0.00471,0.0130060056
6.35352,-43.50465,1.04042,Exp.Nes10_dDFE.Exponential_div10/,340,0.0019,0.012071688
2.17123,-45.88967,1.01515,Exp.Nes10_dDFE.Exponential_div10/,246,0.00495,0.0107475885
19.54551,-43.93846,1.01024,Exp.Nes10_dDFE.Exponential_div10/,150,0.0006,0.011727306
99.25838,-50.96305,0.89111,Exp.Nes10_dDFE.Exponential_div10/,15,3e-05,0.0029777514
0.69441,-45.88303,1.03397,Exp.Nes10_dDFE.Exponential_div10/,650,0.00993,0.0068954913
11.52986,-44.13608,0.9872,Exp.Nes10_dDFE.Exponential_div10/,493,0.00065,0.007494409
0.45971,-46.25681,1.0118,Exp.Nes10_dDFE.Exponential_div10/,466,0.00888,0.0040822248
0.32889,-47.58057,0.9972,Exp.Nes10_dDFE.Exponential_div10/,792,0.00898,0.0029534322
0.71307,-44.23594,1.06628,Exp.Nes10_dDFE.Exponential_div10/,307,0.01019,0.0072661833
45.86971,-43.5713,1.01903,Exp.Nes10_dDFE.Exponential_div10/,410,0.00026,0.0119261246
1.07827,-48.6649,1.00704,Exp.Nes10_dDFE.Exponential_div10/,670,0.00789,0.0085075503
