"","label","mid","pi","xsi","pi2","fwh","theta_W","tajima","sites","B","Bsmooth"
"91","real",5.96528139825,0.00734194277007,0.749720149749,0.252259686293,0.00730370653819,0.0073999276451,-0.025355416156,6691969,0.884571418080723,0.881719606621991
"109","real",-5.96528139825,0.00723116829139,0.752214651077,0.250005684306,0.00721026059566,0.00732177355464,-0.0400424365744,6640194,0.871225095348193,0.881719606621991
"45","real",6.55198486837,0.00734680200645,0.753228544341,0.251592507777,0.00738599014609,0.00741732342244,-0.0307650454202,6940219,0.885156868246988,0.883255685457455
"191","real",-6.55198486837,0.00734693589064,0.752428048404,0.250733447145,0.00736281498053,0.00740522473445,-0.0254701041146,6718016,0.885172998872289,0.883255685457455
"56","real",-7.18810787262,0.00733563345237,0.753473998721,0.253663999933,0.00741825292027,0.00739442949937,-0.0257292674179,7191675,0.883811259321687,0.884665100811599
"142","real",7.18810787262,0.00741390091525,0.746971575284,0.256105154369,0.00737019958426,0.00739345712412,0.00894742024994,7186564,0.893241074126506,0.884665100811599
"21","real",-7.87781314479,0.00729215680895,0.752565004387,0.252194269336,0.00732453656768,0.00736836192138,-0.0334654762093,7090831,0.878573109512048,0.885961309087508
"175","real",7.87781314479,0.00734985639501,0.750389849926,0.256396939045,0.00740590607463,0.00737684613358,-0.0118389155566,7214472,0.885524866868675,0.885961309087508
"7","real",-8.62561405638,0.00732127701206,0.751702091271,0.250817030339,0.00731736064667,0.00737770183922,-0.0247476185481,7574452,0.882081567718072,0.887415529516987
"192","real",8.62561405638,0.00737030581542,0.747603942045,0.252349587369,0.00729551538141,0.00740065370594,-0.0132691274035,7155947,0.887988652460241,0.887415529516987
"51","real",-9.4364041517,0.00736289661994,0.750514269411,0.251542426751,0.00733840461737,0.00740831500095,-0.0198379264019,7292562,0.887095978306024,0.888495335933814
"147","real",9.4364041517,0.00742185501473,0.748846813157,0.253066093133,0.00738447386276,0.00742021460092,0.000715354107402,7349868,0.89419939936506,0.888495335933814
"90","real",-10.3154891708,0.00735995524248,0.752075478523,0.254382276473,0.00741986684315,0.0073993187077,-0.0172141434556,7037578,0.886741595479518,0.888672997339268
"118","real",10.3154891708,0.00738388627085,0.750763812408,0.255553492278,0.00743019614324,0.00742002686924,-0.0157606373695,7112136,0.889624851909638,0.888672997339268
"83","real",-11.2686217699,0.00737196432566,0.750452666125,0.250283136632,0.00733331232352,0.00737247655962,-0.000224822003101,7080684,0.888188472971084,0.888262680257478
"102","real",11.2686217699,0.00745527876848,0.748863005915,0.254630780494,0.00743394671944,0.00743786591969,0.00757539749267,7124449,0.898226357648193,0.888262680257478
"44","real",-12.3020391661,0.00736482177107,0.752367873753,0.250624682177,0.00737208653937,0.00741601674696,-0.0223378349658,7739798,0.887327924225301,0.888334974433209
"153","real",12.3020391661,0.00737231042547,0.749751653171,0.251345988292,0.00731897292429,0.00739599483348,-0.0103621603334,7678079,0.888230171743373,0.888334974433209
"25","real",-13.4225039531,0.00727040952234,0.752321512765,0.250934127366,0.00728174765685,0.00735869500353,-0.0388215449476,7661280,0.875952954498795,0.889269040269632
"171","real",13.4225039531,0.00735218822152,0.74893174125,0.254589980557,0.00732874053045,0.007395721269,-0.0190468281581,7377778,0.885805809821687,0.889269040269632
"10","real",14.6373483554,0.00742622694311,0.749451032005,0.254417653926,0.00742350167325,0.00742578923972,0.000190731115263,7505522,0.894726137724096,0.890450605008897
"167","real",-14.6373483554,0.00732742912022,0.750073640109,0.25430550936,0.00733283486665,0.00740020909785,-0.0318238126458,7559813,0.882822785568675,0.890450605008897
"50","real",15.9545222094,0.0074213156338,0.752818853615,0.253678144901,0.00750182841539,0.00744615970563,-0.0107963014629,7889297,0.894134413710843,0.891888927742686
"74","real",-15.9545222094,0.00740572216628,0.751067106471,0.251801853573,0.00740548344479,0.00743126736098,-0.0111232316179,8010849,0.892255682684337,0.891888927742686
"9","real",17.3826449866,0.0074428197649,0.749976468735,0.256741943928,0.00750753435032,0.00745059589149,-0.00337720167502,8035682,0.896725272879518,0.893728956864097
"190","real",-17.3826449866,0.00740778384436,0.752214842983,0.25220294178,0.00744350446088,0.00745225180867,-0.0193083166277,8036821,0.892504077633735,0.893728956864097
"33","real",18.9310621986,0.0075132090224,0.751106814277,0.252909024841,0.00753581943684,0.00749419182298,0.00821120000096,8267827,0.905205906313253,0.895899905098243
"164","real",-18.9310621986,0.00738368158461,0.753365628575,0.251659211148,0.00744618381,0.0074373893162,-0.0233668916836,8005766,0.889600190916867,0.895899905098243
"6","real",20.6099065533,0.00751470691389,0.747211503477,0.252784439919,0.00742177170567,0.00748317263932,0.013635852105,8802654,0.90538637516747,0.89791982671587
"65","real",-20.6099065533,0.00746717126937,0.752551827628,0.250908870368,0.00747777896624,0.00748854115997,-0.009234003838,8423996,0.899659189080723,0.89791982671587
"11","real",-22.4301642628,0.00747289384904,0.74977961639,0.253700725974,0.00747147770412,0.0074723928635,0.000216945304432,8131780,0.900348656510843,0.899716220825743
"187","real",22.4301642628,0.00742545130285,0.753058607304,0.253181134765,0.00748919085916,0.00746681227139,-0.0179242321986,8641474,0.894632687090361,0.899716220825743
"17","real",-24.4037469355,0.00742505276489,0.74914651813,0.253272982495,0.00740306124788,0.00744040888138,-0.00667836228328,9166673,0.894584670468675,0.901482059270057
"85","real",24.4037469355,0.00752487924012,0.749824642163,0.253646462186,0.00751185543989,0.00750815516742,0.00720765734913,8986061,0.906611956640964,0.901482059270057
"46","real",-26.5435695254,0.00746611124953,0.751028541113,0.255633557941,0.0075275190717,0.00747598959828,-0.00427564002556,9287007,0.899531475846988,0.902823235858941
