,Unnamed: 0,rep,NeSa,pa,AIC,identifier,product
78,78,78,16.36139789275,1.1297074387100002e-09,-23067.178496599998,Exp.Nes10_dDFE.Exponential,3.6967185814267594e-10
79,79,79,14.70813409225,3.60935725752e-08,-23116.5763181,Exp.Nes10_dDFE.Exponential,1.0617382106087974e-08
80,80,80,5.1354647196,1.38025146867e-08,-23179.4192493,Exp.Nes10_dDFE.Exponential,1.417646544306174e-09
81,81,81,14.5597707552,1.0783873793900002e-08,-23163.380322999998,Exp.Nes10_dDFE.Exponential,3.1402146058438582e-09
82,82,82,49319.6527557,3.95089505556e-06,-23194.0386657,Exp.Nes10_dDFE.Exponential,0.0038971354442886253
83,83,83,9.126205279,8.68494165474e-09,-23158.7925893,Exp.Nes10_dDFE.Exponential,1.5852112075459038e-09
84,84,84,45061.0773522,3.33417136122e-05,-23093.5843094,Exp.Nes10_dDFE.Exponential,0.030048270722684876
85,85,85,9.639580916799998,3.05627745334e-09,-23206.675969,Exp.Nes10_dDFE.Exponential,5.892246763132472e-10
86,86,86,5496.839307050001,7.58559881575e-10,-23183.4686373,Exp.Nes10_dDFE.Exponential,8.339363547585306e-08
87,87,87,42.6771246719,5.551115123129999e-14,-23146.2571314,Exp.Nes10_dDFE.Exponential,4.7381126435577704e-14
88,88,88,10.7255497011,3.54589135831e-08,-23184.7659528,Exp.Nes10_dDFE.Exponential,7.60632679965098e-09
89,89,89,31665.235194099998,0.000173829940109,-23102.0823777,Exp.Nes10_dDFE.Exponential,0.11008731874655603
